YEAR,GP,MIN,"%FGA2PT","%FGA3PT","%PTS2PT","%PTS2PT MR","%PTS3PT","%PTSFBPS","%PTSFT","%PTSOFF TO","%PTSPITP","2FGM%AST","2FGM%UAS","3FGM%AST","3FGM%UAST","FGM%AST","FGM%UAST",TEAM
2020,72,48.6,60.8,39.2,52.5,13.2,34,11.3,13.5,13.9,39.3,52.4,47.6,84.9,15.1,62.2,37.8,Suns
2019,73,48.2,63.9,36.1,52.4,10.4,30.1,12.9,17.5,16.2,42,57.4,42.6,88.9,11.1,66.1,33.9,Suns
2021,82,48.1,64.6,35.4,55.9,12.5,30.3,10.9,13.8,15.7,43.3,55.2,44.8,83.2,16.8,62.7,37.3,Suns
2018,82,48.5,66.5,33.5,56.7,10.4,26.9,14.1,16.4,17,46.3,52.8,47.2,80.8,19.2,59.5,40.5,Suns
2017,82,48.1,68,32,56.1,11.8,26.9,13.8,17,14.4,44.3,46.7,53.3,82.3,17.7,55.3,44.7,Suns
2015,82,48.1,69.8,30.2,55.9,14.9,26.8,14.3,17.3,16.4,41.1,47,53,83.2,16.8,55.8,44.2,Suns
2013,82,48.2,70,30,55.8,15.7,26.6,17.8,17.6,16.8,40.1,38.8,61.2,82.4,17.6,49.3,50.7,Suns
2005,82,48.7,70.7,29.3,58.4,23.8,28.3,14.8,13.4,15.7,34.5,56.9,43.1,84,16,63.5,36.5,Suns
2014,82,48.5,70.9,29.1,59.1,17.3,24.9,17.8,16,17.3,41.8,44.3,55.7,80.2,19.8,52.2,47.8,Suns
2004,82,48.2,71.1,28.9,56.4,17.3,26.4,16.7,17.2,14.9,39.1,48.3,51.7,86.9,13.1,57.5,42.5,Suns
2006,82,48.5,71.3,28.7,57.6,17.9,26.1,15.4,16.3,15.8,39.7,55.7,44.3,85.6,14.4,62.6,37.4,Suns
2010,82,48.8,72.9,27.1,58.5,18.7,24.4,13.2,17.1,15.1,39.8,53.1,46.9,86.9,13.1,60.4,39.6,Suns
2009,82,48.1,73.9,26.1,57.7,16.6,24.2,14.5,18,13.3,41.2,50.9,49.1,80.1,19.9,57.3,42.7,Suns
2007,82,48.2,74,26,59.8,19.4,23.1,15.8,17.2,14.4,40.4,60,40,81.8,18.2,64.5,35.5,Suns
2016,82,48.4,74.5,25.5,60.1,16.1,20.9,18,19,16.4,44.1,42.1,57.9,79,21,49.1,50.9,Suns
2011,66,48,76.2,23.8,63.2,22.1,20.5,12.9,16.3,15.3,41.1,54.9,45.1,81.1,18.9,59.6,40.4,Suns
2008,82,48.2,78.4,21.6,62.8,15.4,18.5,16.1,18.7,15.2,47.5,52,48,79.6,20.4,56.5,43.5,Suns
1996,82,48.4,78.7,21.3,62.1,19.4,18.8,14.9,19.2,16.7,42.7,62.3,37.7,82.7,17.3,65.8,34.2,Suns
2012,82,48.3,79,21,66.1,23.7,18.4,14.1,15.4,16.9,42.5,56.4,43.6,83.1,16.9,60.6,39.4,Suns
1999,82,48.3,81.6,18.4,65,22.4,16.9,14.4,18.1,18.8,42.6,63.2,36.8,94.3,5.7,67.8,32.2,Suns
2003,82,48.1,82,18,65.9,20.8,16.1,14,18,18.5,45.1,48.2,51.8,87,13,53.6,46.4,Suns
1997,82,48.7,82,18,66.3,24.5,15.8,14.6,17.9,18.6,41.8,64.2,35.8,89.8,10.2,67.7,32.3,Suns
1998,50,48.2,82.5,17.5,64.3,25.7,16.4,14.9,19.3,18.4,38.6,65.4,34.6,93.9,6.1,69.5,30.5,Suns
2002,82,48.3,83,17,66.7,23.6,15.1,11.5,18.3,18.7,43,53,47,85,15,57.2,42.8,Suns
2001,82,48.4,84.2,15.8,70.2,24.7,13.8,13,16,16.9,45.6,56.7,43.3,79.6,20.4,59.3,40.7,Suns
2000,82,48.3,84.4,15.6,67.8,28.1,12.9,15.1,19.3,19.8,39.7,61.5,38.5,89.8,10.2,64.7,35.3,Suns
2021,82,48.1,61,39,50.2,10.1,33.9,8.5,15.9,13.7,40.1,52.9,47.1,73.5,26.5,59.3,40.7,Hawks
2018,82,48.4,59.7,40.3,50,4.9,34.4,13.4,15.5,15,45.1,53.3,46.7,82.4,17.6,62.4,37.6,Hawks
2017,82,48.1,63.7,36.3,52.2,12.3,32.5,10,15.3,17.2,40,52,48,86.8,13.2,62.2,37.8,Hawks
2016,82,48.5,69.1,30.9,56.6,15.2,25.9,11.8,17.5,15.8,41.4,54.2,45.8,87.9,12.1,62.1,37.9,Hawks
2015,82,48.4,66.4,33.6,55.8,13.6,29,14.3,15.2,18,42.2,58.2,41.8,89.6,10.4,66.3,33.7,Hawks
2014,82,48.1,67.9,32.1,54.8,14.4,29.2,13,16,17.9,40.4,59.1,40.9,91.8,8.2,67.6,32.4,Hawks
2013,82,48.4,68.4,31.6,55.4,14.7,27.8,13.7,16.8,17.2,40.6,59.8,40.2,87.2,12.8,66.7,33.3,Hawks
2012,82,48.4,71.4,28.6,59.2,17.2,26.4,18.1,14.4,17.4,42.1,58.5,41.5,87.4,12.6,65.1,34.9,Hawks
2010,82,48.1,77.8,22.2,63.4,24.5,19.3,15,17.3,15,38.9,55,45,88.2,11.8,60.7,39.3,Hawks
2009,82,48.4,78.6,21.4,63.7,19.9,18.9,15.9,17.4,16.5,43.8,51,49,82.8,17.2,56.2,43.8,Hawks
2008,82,48.1,74.7,25.3,58.6,18.1,22.3,15.9,19.1,15.8,40.5,48.3,51.7,86.8,13.2,56.1,43.9,Hawks
