Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS
2017,NBA,Boston Celtics,29,10,0.744,1,4.38,95.4,,108,0.2,102.8,,,B. Stevens (29,K. Irving (5.7)
2016,NBA,Boston Celtics*,53,29,0.646,1,2.25,96.8,0.4,111.2,2.4,108.4,,Lost E. Conf. Finals,B. Stevens (53,I. Thomas (12.5)
2015,NBA,Boston Celtics*,48,34,0.585,2,2.84,98.5,2.7,106.8,0.4,103.6,,Lost E. Conf. 1st Rnd.,B. Stevens (48,I. Thomas (9.7)
2014,NBA,Boston Celtics*,40,42,0.488,2,,95.8,1.9,104.7,,104.5,,Lost E. Conf. 1st Rnd.,B. Stevens (40,T. Zeller (6.5)
2013,NBA,Boston Celtics,25,57,0.305,4,,93.3,,102.9,,107.7,1,,B. Stevens (25,B. Bass (5.1)
2012,NBA,Boston Celtics*,41,40,0.506,3,,91.7,,103.1,,103.3,,Lost E. Conf. 1st Rnd.,D. Rivers (41,P. Pierce (7.2)
2011,NBA,Boston Celtics*,39,27,0.591,1,2.26,90.4,,101,,98.2,,Lost E. Conf. Finals,D. Rivers (39,P. Pierce (7.0)
2010,NBA,Boston Celtics*,56,26,0.683,1,4.83,90.4,,106.2,,100.3,,Lost E. Conf. Semis,D. Rivers (56,P. Pierce (11.6)
2009,NBA,Boston Celtics*,50,32,0.61,1,3.37,91.6,,107.7,0.1,103.8,,Lost Finals,D. Rivers (50,R. Rondo (9.6)
2008,NBA,Boston Celtics*,62,20,0.756,1,7.44,90.4,,110.5,2.2,102.3,,Lost E. Conf. Semis,D. Rivers (62,R. Allen (11.1)
2007,NBA,Boston Celtics*,66,16,0.805,1,9.3,90.9,,110.2,2.7,98.9,,Won Finals,D. Rivers (66,K. Garnett (12.9)
2006,NBA,Boston Celtics,24,58,0.293,5,,92,0.1,103.2,,106.9,0.4,,D. Rivers (24,A. Jefferson (6.6)
2005,NBA,Boston Celtics,33,49,0.402,3,,92.2,1.7,105.2,,106.9,0.7,,D. Rivers (33,P. Pierce (11.5)
2004,NBA,Boston Celtics*,45,37,0.549,1,0.35,93.3,2.4,107.5,1.4,106.6,0.5,Lost E. Conf. 1st Rnd.,D. Rivers (45,P. Pierce (11.2)
2003,NBA,Boston Celtics*,36,46,0.439,4,,93.2,3.1,102.1,,103.7,0.8,Lost E. Conf. 1st Rnd.,J. O'Brien (22,P. Pierce (7.1)
2002,NBA,Boston Celtics*,44,38,0.537,3,,90.9,,101.2,,101.6,,Lost E. Conf. Semis,J. O'Brien (44,P. Pierce (10.1)
2001,NBA,Boston Celtics*,49,33,0.598,2,1.75,92.5,1.8,103.4,,101,,Lost E. Conf. Finals,J. O'Brien (49,P. Pierce (12.9)
2000,NBA,Boston Celtics,36,46,0.439,5,,92.6,1.3,101.4,,103.7,0.7,,R. Pitino (12,P. Pierce (10.4)
1999,NBA,Boston Celtics,35,47,0.427,5,,94.6,1.5,104.8,0.7,105.6,1.5,,R. Pitino (35,P. Pierce (8.2)
1998,NBA,Boston Celtics,19,31,0.38,5,,91.5,2.6,100.4,,102.4,0.2,,R. Pitino (19,P. Pierce (4.9)
1997,NBA,Boston Celtics,36,46,0.439,6,,93.3,3,102.6,,105.4,0.4,,R. Pitino (36,D. Barros (5.6)
1996,NBA,Boston Celtics,15,67,0.183,7,,95.8,5.7,103.9,,111.4,4.7,,M. Carr (15,D. Wesley (6.1)
1995,NBA,Boston Celtics,33,49,0.402,5,,96.2,4.4,106.4,,109.9,2.3,,M. Carr (33,D. Wesley (6.3)
1994,NBA,Boston Celtics*,35,47,0.427,3,,94,1.1,108.6,0.3,110.6,2.3,Lost E. Conf. 1st Rnd.,C. Ford (35,D. Brown (6.8)
1993,NBA,Boston Celtics,32,50,0.39,5,,95.6,0.5,104.2,,108.7,2.4,,C. Ford (32,D. Brown (6.4)
1992,NBA,Boston Celtics*,48,34,0.585,2,0.93,94.9,,108.7,0.7,107.8,,Lost E. Conf. 1st Rnd.,C. Ford (48,R. Lewis (8.3)
1991,NBA,Boston Celtics*,51,31,0.622,1,3.41,95.8,,110.8,2.6,107,,Lost E. Conf. Semis,C. Ford (51,R. Lewis (9.1)
1990,NBA,Boston Celtics*,56,26,0.683,1,5.22,98.5,0.7,112.6,4.7,106.7,,Lost E. Conf. Semis,C. Ford (56,R. Parish (10.0)
